Comment,Designator,Footprint,LCSC
100k,R18,R_0603_1608Metric,
D_TVS,D3,TPD1E10B06DPYR,
10u,C16,C_0603_1608Metric,
330,R1,R_0402_1005Metric,
AMS1117-3.3,U1,SOT-223-3_TabPin2,
10k,R6,R_0201_0603Metric,
D_TVS,D5,TPD1E10B06DPYR,
0.1u,C6,C_0201_0603Metric,
SW_SPDT,SW4,SW_SPDT_PCM12,
LED,D10,LED_0805_2012Metric,
330,R21,R_0402_1005Metric,
1k,R11,R_0402_1005Metric,
TP_Vbat,TP1,TestPoint_Pad_1.0x1.0mm,
Conn_01x12_Male,J1,PinHeader_2x06_P2.54mm_Vertical_SMD,
SW_Push,SW2,SW_SPST_B3U-1000P,
D_TVS,D4,TPD1E10B06DPYR,
23.2k,R12,R_0402_1005Metric,
10u,C9,C_0402_1005Metric,
10k,R4,R_0402_1005Metric,
10k,R13,R_0402_1005Metric,
USB4055-30-A,J6,USB405530A,
1u,C8,C_0402_1005Metric,
TP3_3V,TP2,TestPoint_Pad_1.0x1.0mm,
0.1u,C5,C_0402_1005Metric,
10k,R7,R_0201_0603Metric,
330,R23,R_0402_1005Metric,
MEM2051-00-195-00-A,J5,MEM20510019500A,
10k,R8,R_0402_1005Metric,
51k,R15,R_0402_1005Metric,
Battery_Cell,BT1,3034,
2.2u,C11,C_0603_1608Metric,
SW_Push,SW3,SW_SPST_B3U-1000P,
ESP32-WROOM-32,U2,ESP32-WROOM-32,
22u,C2,C_0402_1005Metric,
330,R3,R_0402_1005Metric,
NTJD1155LT2G,Q2,SOT65P210X110-6N,
22u,C4,C_0402_1005Metric,
0.1u,C7,C_0201_0603Metric,
D_TVS,D6,TPD1E10B06DPYR,
10k,R20,R_0805_2012Metric,
LED,D9,LED_0805_2012Metric,
Q_PMOS_DGS,Q1,SOT-223-3_TabPin2,
LED,D7,LED_0805_2012Metric,
1k,R16,R_0603_1608Metric,
BQ25303JRTER,IC1,QFN50P300X300X80-17N-D,
LED,D2,LED_0805_2012Metric,
100k,R19,R_0805_2012Metric,
LED,D11,LED_0805_2012Metric,
0.1u,C10,C_0402_1005Metric,
330,R22,R_0402_1005Metric,
10u,C15,C_1206_3216Metric,
SW_Push,SW1,SW_SPST_B3U-1000P,
10k,R10,R_0402_1005Metric,
10k,R14,R_0402_1005Metric,
10k,R5,R_0402_1005Metric,
Conn_01x03_Male,J4,PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left,
D_Schottky,D8,D_0603_1608Metric,
10u,C13,C_0402_1005Metric,
1u,L1,INDC3030X200N,
LED,D1,LED_0805_2012Metric,
TP_GND,TP3,TestPoint_Pad_1.0x1.0mm,
10k,R17,R_0603_1608Metric,
DS3231M,U3,SOIC-16W_7.5x10.3mm_P1.27mm,
0.1u,C3,C_0402_1005Metric,
22u,C1,C_0603_1608Metric,
2.2u,C12,C_0402_1005Metric,
47n,C14,C_0402_1005Metric,
10k,R9,R_0201_0603Metric,
10k,R2,R_0402_1005Metric,
Battery,BT2,BatteryHolder_MPD_BH-18650-PC2,
