Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,3034,192.456,-84.6625,90.0,top
BT2,Battery,BatteryHolder_MPD_BH-18650-PC2,124.782,-68.326,0.0,bottom
C1,22u,C_0603_1608Metric,149.606,-85.598,90.0,top
C2,22u,C_0402_1005Metric,149.606,-82.55,-90.0,top
C3,0.1u,C_0402_1005Metric,136.652,-60.226,-90.0,top
C4,22u,C_0402_1005Metric,136.652,-58.42,90.0,top
C5,0.1u,C_0402_1005Metric,135.636,-58.42,90.0,top
C6,0.1u,C_0201_0603Metric,158.574,-85.344,180.0,top
C7,0.1u,C_0201_0603Metric,158.587,-86.305,0.0,top
C8,1u,C_0402_1005Metric,175.796,-82.296,180.0,top
C9,10u,C_0402_1005Metric,164.084,-61.694,-90.0,top
C10,0.1u,C_0402_1005Metric,165.354,-61.694,-90.0,top
C11,2.2u,C_0603_1608Metric,131.314,-90.17,0.0,top
C12,2.2u,C_0402_1005Metric,132.33,-88.392,-90.0,top
C13,10u,C_0402_1005Metric,133.854,-87.376,180.0,top
C14,47n,C_0402_1005Metric,135.914,-87.376,0.0,top
C15,10u,C_1206_3216Metric,139.188,-93.015,-90.0,top
C16,10u,C_0603_1608Metric,134.62,-79.248,90.0,top
D1,LED,LED_0805_2012Metric,137.922,-80.518,-90.0,top
D2,LED,LED_0805_2012Metric,124.46,-59.0065,-90.0,top
D3,D_TVS,TPD1E10B06DPYR,183.134,-65.278,90.0,top
D4,D_TVS,TPD1E10B06DPYR,183.134,-59.374,90.0,top
D5,D_TVS,TPD1E10B06DPYR,164.022,-66.228,0.0,top
D6,D_TVS,TPD1E10B06DPYR,163.947,-64.196,0.0,top
D7,LED,LED_0805_2012Metric,130.552,-92.7885,90.0,top
D8,D_Schottky,D_0603_1608Metric,143.52375,-89.662,180.0,top
D9,LED,LED_0805_2012Metric,127.254,-58.928,-90.0,top
D10,LED,LED_0805_2012Metric,130.048,-58.928,-90.0,top
D11,LED,LED_0805_2012Metric,132.842,-58.928,-90.0,top
IC1,BQ25303JRTER,QFN50P300X300X80-17N-D,135.04,-90.233,0.0,top
J1,Conn_01x12_Male,PinHeader_2x06_P2.54mm_Vertical_SMD,191.77,-61.961,90.0,top
J4,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left,160.405,-60.452,180.0,top
J5,MEM2051-00-195-00-A,MEM20510019500A,174.244,-65.024,180.0,top
J6,USB4055-30-A,USB405530A,123.952,-88.138,-90.0,top
L1,1u,INDC3030X200N,139.188,-88.31,-90.0,top
Q1,Q_PMOS_DGS,SOT-223-3_TabPin2,148.85375,-91.962,-90.0,top
Q2,NTJD1155LT2G,SOT65P210X110-6N,131.572,-82.55,0.0,top
R1,330,R_0402_1005Metric,137.922,-83.31,90.0,top
R2,10k,R_0402_1005Metric,135.636,-60.198,90.0,top
R3,330,R_0402_1005Metric,124.46,-62.0565,90.0,top
R4,10k,R_0402_1005Metric,179.324,-82.804,90.0,top
R5,10k,R_0402_1005Metric,178.054,-82.804,-90.0,top
R6,10k,R_0201_0603Metric,183.134,-63.5,-90.0,top
R7,10k,R_0201_0603Metric,165.608,-65.974,-90.0,top
R8,10k,R_0402_1005Metric,164.846,-60.198,0.0,top
R9,10k,R_0201_0603Metric,165.608,-63.942,-90.0,top
R10,10k,R_0402_1005Metric,183.134,-61.722,90.0,top
R11,1k,R_0402_1005Metric,132.33,-91.948,90.0,top
R12,23.2k,R_0402_1005Metric,133.346,-93.474,-90.0,top
R13,10k,R_0402_1005Metric,135.6815,-93.472,-90.0,top
R14,10k,R_0402_1005Metric,134.616,-93.472,-90.0,top
R15,51k,R_0402_1005Metric,136.902,-93.472,-90.0,top
R16,1k,R_0603_1608Metric,143.52375,-92.47,0.0,top
R17,10k,R_0603_1608Metric,143.52375,-94.234,0.0,top
R18,100k,R_0603_1608Metric,134.62,-82.55,90.0,top
R19,100k,R_0805_2012Metric,128.524,-80.01,90.0,top
R20,10k,R_0805_2012Metric,131.572,-79.756,0.0,top
R21,330,R_0402_1005Metric,127.254,-61.976,90.0,top
R22,330,R_0402_1005Metric,130.048,-61.976,90.0,top
R23,330,R_0402_1005Metric,132.842,-61.976,90.0,top
SW1,SW_Push,SW_SPST_B3U-1000P,158.574,-83.058,180.0,top
SW2,SW_Push,SW_SPST_B3U-1000P,158.629,-88.591,0.0,top
SW3,SW_Push,SW_SPST_B3U-1000P,179.07,-89.916,90.0,top
SW4,SW_SPDT,SW_SPDT_PCM12,121.92,-75.438,-90.0,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,144.018,-82.042,180.0,top
U2,ESP32-WROOM-32,ESP32-WROOM-32,147.066,-65.956,0.0,top
U3,DS3231M,SOIC-16W_7.5x10.3mm_P1.27mm,170.688,-88.138,0.0,top
